stage,variant,split,IMG_ID,segmentation_variant,vesselness_profile,artery_method,morphology_profile,morphology_mode,morphology_closing_radius,morphology_dilation_radius,morphology_base_dilation_radius,morphology_max_dilation_radius,morphology_support_percentile,morphology_support_factor,morphology_local_max_radius,ostia_status,ostia_success,left_dist_mm,right_dist_mm,dice_artery,dice_artery_before_morphology,dice_artery_after_morphology,dice_artery_morphology_delta,artery_voxels,artery_voxels_before_morphology,artery_voxels_after_morphology,morphology_added_voxels,recall_before_morphology,recall_after_morphology,precision_before_morphology,precision_after_morphology,vesselness_seconds,segmentation_seconds,morphology_seconds,fc_processed_voxels,fc_candidate_voxels_initial,fc_candidate_voxels_final,fc_effective_alpha,fc_object_seed_count,fc_grow_each_ostium_separately,fc_processed_limit_hit,fc_candidate_limit_hit,branch_parameter_mode,left_branch_voxels,right_branch_voxels,recovery_triggered_branches,recovery_accepted_branches,recovery_added_voxels,conditioned_support_threshold,conditioned_shell_voxels,conditioned_accepted_voxels,conditioned_acceptance_rate,error
optimization,fc_floor020__conditioned_p10_f025,train,13,fc_floor020,current,fuzzy_connectedness,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.5623507273648404,0.30884184308841844,0.5623507273648404,0.25350888427642193,22654,6733,22654,15921,0.1863003618078126,0.47648249218127187,0.902420911926333,0.685971572349254,0.36233580599946436,1.4445362309998018,2.0346147319996817,6733.0,567249.0,500000.0,0.16,8.0,False,False,True,shared,,,0,0,0,0.015709618106484413,10489.0,8653.0,0.8249594813614263,
optimization,fc_floor020__conditioned_p10_f050,train,13,fc_floor020,current,fuzzy_connectedness,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.5624208613950415,0.30884184308841844,0.5624208613950415,0.2535790183066231,21879,6733,21879,15146,0.1863003618078126,0.4698595695100264,0.902420911926333,0.7003976415741122,0.36233580599946436,1.4445362309998018,2.0277975210001387,6733.0,567249.0,500000.0,0.16,8.0,False,False,True,shared,,,0,0,0,0.031419236212968826,10489.0,7878.0,0.7510725521975403,
optimization,fc_floor020__current_c3_d2,train,13,fc_floor020,current,fuzzy_connectedness,current_c3_d2,standard,3,2.0,,,,,,both_tolerable,True,0.6953125,1.1031404921008474,0.5587699635752311,0.30884184308841844,0.5587699635752311,0.24992812048681268,24490,6733,24490,17757,0.1863003618078126,0.489176427301159,0.902420911926333,0.6514495712535728,0.36233580599946436,1.4445362309998018,1.6006000859997584,6733.0,567249.0,500000.0,0.16,8.0,False,False,True,shared,,,0,0,0,,,,,
optimization,fc_floor020_alpha018__conditioned_p10_f025,train,13,fc_floor020_alpha018,current,fuzzy_connectedness,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.5462344366838748,0.28383882935941673,0.5462344366838748,0.2623956073244581,20074,5929,20074,14145,0.16771938431348501,0.4412215612926964,0.9225839095968966,0.7168476636445152,0.36233580599946436,1.3294890960005432,2.028765492000275,5929.0,567249.0,500000.0,0.18,8.0,False,False,True,shared,,,0,0,0,0.018960513174533844,9392.0,7780.0,0.8283645655877342,
optimization,fc_floor020_alpha018__conditioned_p10_f050,train,13,fc_floor020_alpha018,current,fuzzy_connectedness,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.5456083679433933,0.28383882935941673,0.5456083679433933,0.26176953858397656,19394,5929,19394,13465,0.16771938431348501,0.43502790212792053,0.9225839095968966,0.7315664638548005,0.36233580599946436,1.3294890960005432,2.042939592000039,5929.0,567249.0,500000.0,0.18,8.0,False,False,True,shared,,,0,0,0,0.03792102634906769,9392.0,7100.0,0.7559625212947189,
optimization,fc_floor020_alpha018__current_c3_d2,train,13,fc_floor020_alpha018,current,fuzzy_connectedness,current_c3_d2,standard,3,2.0,,,,,,both_tolerable,True,0.6953125,1.1031404921008474,0.543720073664825,0.28383882935941673,0.543720073664825,0.25988124430540827,21686,5929,21686,15757,0.16771938431348501,0.4526277058931747,0.9225839095968966,0.6807156690952688,0.36233580599946436,1.3294890960005432,1.5984548329997779,5929.0,567249.0,500000.0,0.18,8.0,False,False,True,shared,,,0,0,0,,,,,
optimization,fc_floor020_neighborhood18__conditioned_p10_f025,train,13,fc_floor020_neighborhood18,current,fuzzy_connectedness,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.5551020408163265,0.3023077708567344,0.5551020408163265,0.25279426995959214,22021,6558,22021,15463,0.1815478015576133,0.46495370086465937,0.9028667276608722,0.6886154125607374,0.36233580599946436,1.0759596349998901,2.0481803270004093,6558.0,567249.0,500000.0,0.16,8.0,False,False,True,shared,,,0,0,0,0.016359975561499596,10201.0,8423.0,0.8257033624154495,
optimization,fc_floor020_neighborhood18__conditioned_p10_f050,train,13,fc_floor020_neighborhood18,current,fuzzy_connectedness,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.5556544968833482,0.3023077708567344,0.5556544968833482,0.25334672602661384,21290,6558,21290,14732,0.1815478015576133,0.4591893052063531,0.9028667276608722,0.7034288398309065,0.36233580599946436,1.0759596349998901,2.0377050649995,6558.0,567249.0,500000.0,0.16,8.0,False,False,True,shared,,,0,0,0,0.03271995112299919,10201.0,7692.0,0.7540437212038036,
optimization,fc_floor020_neighborhood18__current_c3_d2,train,13,fc_floor020_neighborhood18,current,fuzzy_connectedness,current_c3_d2,standard,3,2.0,,,,,,both_tolerable,True,0.6953125,1.1031404921008474,0.5516104444011132,0.3023077708567344,0.5516104444011132,0.2493026735443788,23799,6558,23799,17241,0.1815478015576133,0.47706506408290916,0.9028667276608722,0.6537669649985294,0.36233580599946436,1.0759596349998901,1.6177575669998987,6558.0,567249.0,500000.0,0.16,8.0,False,False,True,shared,,,0,0,0,,,,,
optimization,fc_floor020_sigma090__conditioned_p10_f025,train,13,fc_floor020_sigma090,current,fuzzy_connectedness,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.5622673711349565,0.3050035666972384,0.5622673711349565,0.2572638044377181,22463,6638,22463,15825,0.18354081069479364,0.4747654381553934,0.9017776438686351,0.6893113119351822,0.36233580599946436,1.454338722999637,2.0274926160000177,6638.0,567249.0,500000.0,0.16,8.0,False,False,True,shared,,,0,0,0,0.016528436914086342,10433.0,8617.0,0.8259369308923608,
optimization,fc_floor020_sigma090__conditioned_p10_f050,train,13,fc_floor020_sigma090,current,fuzzy_connectedness,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.5628129602356406,0.3050035666972384,0.5628129602356406,0.25780939353840227,21706,6638,21706,15068,0.18354081069479364,0.4686944257067517,0.9017776438686351,0.7042292453699438,0.36233580599946436,1.454338722999637,2.0403718580000714,6638.0,567249.0,500000.0,0.16,8.0,False,False,True,shared,,,0,0,0,0.033056873828172684,10433.0,7860.0,0.7533787021949583,
optimization,fc_floor020_sigma090__current_c3_d2,train,13,fc_floor020_sigma090,current,fuzzy_connectedness,current_c3_d2,standard,3,2.0,,,,,,both_tolerable,True,0.6953125,1.1031404921008474,0.5590494436925456,0.3050035666972384,0.5590494436925456,0.25404587699530723,24279,6638,24279,17641,0.18354081069479364,0.4876126816704483,0.9017776438686351,0.655010502903744,0.36233580599946436,1.454338722999637,1.593124914999862,6638.0,567249.0,500000.0,0.16,8.0,False,False,True,shared,,,0,0,0,,,,,
optimization,fc_floor020_sigma110__conditioned_p10_f025,train,13,fc_floor020_sigma110,current,fuzzy_connectedness,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.5617308455736403,0.3113614451717664,0.5617308455736403,0.2503694004018739,22804,6800,22804,16004,0.18814006254982524,0.47724903415711045,0.9023529411764706,0.6825556919838625,0.36233580599946436,1.466646337000384,2.047247700000298,6800.0,567249.0,500000.0,0.16,8.0,False,False,True,shared,,,0,0,0,0.015218950808048248,10539.0,8688.0,0.8243666382009678,
optimization,fc_floor020_sigma110__conditioned_p10_f050,train,13,fc_floor020_sigma110,current,fuzzy_connectedness,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.56198861452289,0.3113614451717664,0.56198861452289,0.25062716935112356,22017,6800,22017,15217,0.18814006254982524,0.47068743484393205,0.9023529411764706,0.6972339555797793,0.36233580599946436,1.466646337000384,2.0369164980002097,6800.0,567249.0,500000.0,0.16,8.0,False,False,True,shared,,,0,0,0,0.030437901616096497,10539.0,7901.0,0.7496916215959768,
optimization,fc_floor020_sigma110__current_c3_d2,train,13,fc_floor020_sigma110,current,fuzzy_connectedness,current_c3_d2,standard,3,2.0,,,,,,both_tolerable,True,0.6953125,1.1031404921008474,0.5578934502086643,0.3113614451717664,0.5578934502086643,0.24653200503689793,24655,6800,24655,17855,0.18814006254982524,0.48982032256086344,0.9023529411764706,0.6479415939971608,0.36233580599946436,1.466646337000384,1.5876918550002301,6800.0,567249.0,500000.0,0.16,8.0,False,False,True,shared,,,0,0,0,,,,,
optimization,fc_floor020_weight088__conditioned_p10_f025,train,13,fc_floor020_weight088,current,fuzzy_connectedness,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.5595011321568486,0.31018401176053123,0.5595011321568486,0.24931712039631737,23032,6840,23032,16192,0.187618814006255,0.47731035751517753,0.8945906432748538,0.6758857242097951,0.36233580599946436,1.455258773999958,2.042293255000004,6840.0,567249.0,500000.0,0.16,8.0,False,False,True,shared,,,0,0,0,0.015421191230416298,10635.0,8769.0,0.8245416078984485,
optimization,fc_floor020_weight088__conditioned_p10_f050,train,13,fc_floor020_weight088,current,fuzzy_connectedness,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.5596368740543595,0.31018401176053123,0.5596368740543595,0.24945286229382824,22243,6840,22243,15403,0.187618814006255,0.4706567731648985,0.8945906432748538,0.6901047520568269,0.36233580599946436,1.455258773999958,2.0391522519994396,6840.0,567249.0,500000.0,0.16,8.0,False,False,True,shared,,,0,0,0,0.030842382460832596,10635.0,7980.0,0.7503526093088858,
optimization,fc_floor020_weight088__current_c3_d2,train,13,fc_floor020_weight088,current,fuzzy_connectedness,current_c3_d2,standard,3,2.0,,,,,,both_tolerable,True,0.6953125,1.1031404921008474,0.5558144387258311,0.31018401176053123,0.5558144387258311,0.2456304269652999,24898,6840,24898,18058,0.187618814006255,0.4900656159931318,0.8945906432748538,0.6419391115752269,0.36233580599946436,1.455258773999958,1.6037807789998624,6840.0,567249.0,500000.0,0.16,8.0,False,False,True,shared,,,0,0,0,,,,,
optimization,fc_floor020_weight092__conditioned_p10_f025,train,13,fc_floor020_weight092,current,fuzzy_connectedness,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.5555759018494781,0.30355456888412563,0.5555759018494781,0.2520213329653525,21996,6575,21996,15421,0.182375666891519,0.4651376709388606,0.9046387832699619,0.6896708492453173,0.36233580599946436,1.4198162369993952,2.0618723430006867,6575.0,567249.0,500000.0,0.16,8.0,False,False,True,shared,,,0,0,0,0.01592858135700226,10166.0,8383.0,0.824611449931143,
optimization,fc_floor020_weight092__conditioned_p10_f050,train,13,fc_floor020_weight092,current,fuzzy_connectedness,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.5559267921446338,0.30355456888412563,0.5559267921446338,0.2523722232605082,21260,6575,21260,14685,0.182375666891519,0.45915864352731955,0.9046387832699619,0.7043744120413923,0.36233580599946436,1.4198162369993952,2.0404382920005446,6575.0,567249.0,500000.0,0.16,8.0,False,False,True,shared,,,0,0,0,0.03185716271400452,10166.0,7647.0,0.7522132598858942,
optimization,fc_floor020_weight092__current_c3_d2,train,13,fc_floor020_weight092,current,fuzzy_connectedness,current_c3_d2,standard,3,2.0,,,,,,both_tolerable,True,0.6953125,1.1031404921008474,0.5520188675899491,0.30355456888412563,0.5520188675899491,0.24846429870582348,23779,6575,23779,17204,0.182375666891519,0.47724903415711045,0.9046387832699619,0.6545691576601202,0.36233580599946436,1.4198162369993952,1.5892540599998028,6575.0,567249.0,500000.0,0.16,8.0,False,False,True,shared,,,0,0,0,,,,,
optimization,fc_left_permissive__conditioned_p10_f025,train,13,fc_left_permissive,current,fuzzy_connectedness,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.5619736128682451,0.3094312784170286,0.5619736128682451,0.2525423344512165,22716,6755,22716,15961,0.18676028699331576,0.47669712393450664,0.9017024426350851,0.6844074661031871,0.36233580599946436,1.5731655250001495,2.0280921800003853,6755.0,567249.0,500000.0,,8.0,True,False,True,side_specific,3876.0,2879.0,0,0,0,0.015629710629582405,10512.0,8673.0,0.8250570776255708,
optimization,fc_left_permissive__conditioned_p10_f050,train,13,fc_left_permissive,current,fuzzy_connectedness,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.5622353005885264,0.3094312784170286,0.5622353005885264,0.25280402217149783,21929,6755,21929,15174,0.18676028699331576,0.47013552462132824,0.9017024426350851,0.6992110903369967,0.36233580599946436,1.5731655250001495,2.05850526300037,6755.0,567249.0,500000.0,,8.0,True,False,True,side_specific,3876.0,2879.0,0,0,0,0.03125942125916481,10512.0,7886.0,0.7501902587519026,
optimization,fc_left_permissive__current_c3_d2,train,13,fc_left_permissive,current,fuzzy_connectedness,current_c3_d2,standard,3,2.0,,,,,,both_tolerable,True,0.6953125,1.1031404921008474,0.558484493344295,0.3094312784170286,0.558484493344295,0.24905321492726634,24555,6755,24555,17800,0.18676028699331576,0.48948304409149446,0.9017024426350851,0.6501323559356547,0.36233580599946436,1.5731655250001495,1.6320119519996297,6755.0,567249.0,500000.0,,8.0,True,False,True,side_specific,3876.0,2879.0,0,0,0,,,,,
optimization,fc_right_permissive__conditioned_p10_f025,train,13,fc_right_permissive,current,fuzzy_connectedness,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.5622094810902711,0.3091112353269983,0.5622094810902711,0.25309824576327283,22675,6744,22675,15931,0.1865149935610474,0.47654381553933894,0.9019869513641756,0.6854244762954796,0.36233580599946436,1.5743307849998018,2.0657995690007738,6744.0,567249.0,500000.0,,8.0,True,False,True,side_specific,3854.0,2890.0,0,0,0,0.01567082479596138,10492.0,8657.0,0.8251048417842165,
optimization,fc_right_permissive__conditioned_p10_f050,train,13,fc_right_permissive,current,fuzzy_connectedness,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.5624862405518456,0.3091112353269983,0.5624862405518456,0.2533750052248473,21894,6744,21894,15150,0.1865149935610474,0.4700435395842276,0.9019869513641756,0.7001918333790079,0.36233580599946436,1.5743307849998018,2.0479348869994283,6744.0,567249.0,500000.0,,8.0,True,False,True,side_specific,3854.0,2890.0,0,0,0,0.03134164959192276,10492.0,7876.0,0.750667174990469,
optimization,fc_right_permissive__current_c3_d2,train,13,fc_right_permissive,current,fuzzy_connectedness,current_c3_d2,standard,3,2.0,,,,,,both_tolerable,True,0.6953125,1.1031404921008474,0.55864435263637,0.3091112353269983,0.55864435263637,0.24953311730937172,24510,6744,24510,17766,0.1865149935610474,0.4892377506592261,0.9019869513641756,0.650999592003264,0.36233580599946436,1.5743307849998018,1.6097350490008466,6744.0,567249.0,500000.0,,8.0,True,False,True,side_specific,3854.0,2890.0,0,0,0,,,,,
optimization,rg_gamma55_current__conditioned_p10_f025,train,13,rg_gamma55_current,current,region_growing,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.5739581083999137,0.27798768179700845,0.5739581083999137,0.29597042660290523,22958,6028,22958,16930,0.16468387808916415,0.4889924572269577,0.8910086264100863,0.6946598135726109,0.36233580599946436,0.05489877299987711,2.036199970999405,,,,,,,False,False,shared,,,0,0,0,0.024319015443325043,11109.0,9449.0,0.8505716086056351,
optimization,rg_gamma55_current__conditioned_p10_f050,train,13,rg_gamma55_current,current,region_growing,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.5732335220010955,0.27798768179700845,0.5732335220010955,0.295245840204087,22156,6028,22156,16128,0.16468387808916415,0.4813270374685718,0.8910086264100863,0.7085213937533851,0.36233580599946436,0.05489877299987711,2.0388878920002753,,,,,,,False,False,shared,,,0,0,0,0.048638030886650085,11109.0,8647.0,0.778377891799442,
optimization,rg_gamma55_current__current_c3_d2,train,13,rg_gamma55_current,current,region_growing,current_c3_d2,standard,3,2.0,,,,,,both_tolerable,True,0.6953125,1.1031404921008474,0.5717081353089181,0.27798768179700845,0.5717081353089181,0.2937204535119096,24618,6028,24618,18590,0.16468387808916415,0.5016250689887778,0.8910086264100863,0.664554391095946,0.36233580599946436,0.05489877299987711,1.5912993479996658,,,,,,,False,False,shared,,,0,0,0,,,,,
optimization,rg_gamma65_branch_local_p90__conditioned_p10_f025,train,13,rg_gamma65_branch_local_p90,gamma65,region_growing,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.1360472570748237,0.053875077164824065,0.1360472570748237,0.08217217990999964,11062,3024,11062,8038,0.029435211872202122,0.09109584840865886,0.31746031746031744,0.268577110829868,0.36906328599980043,0.048566088000370655,2.0412555339999017,,,,,,,False,False,side_specific,2259.0,765.0,0,0,0,0.004133324138820171,4726.0,4210.0,0.8908167583580194,
optimization,rg_gamma65_branch_local_p90__conditioned_p10_f050,train,13,rg_gamma65_branch_local_p90,gamma65,region_growing,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.13618390804597702,0.053875077164824065,0.13618390804597702,0.08230883088115296,10886,3024,10886,7862,0.029435211872202122,0.09081989329735696,0.31746031746031744,0.2720925959948558,0.36906328599980043,0.048566088000370655,2.0514782910004215,,,,,,,False,False,side_specific,2259.0,765.0,0,0,0,0.008266648277640343,4726.0,4034.0,0.8535759627592044,
optimization,rg_gamma65_branch_local_p90__current_c3_d2,train,13,rg_gamma65_branch_local_p90,gamma65,region_growing,current_c3_d2,standard,3,2.0,,,,,,both_tolerable,True,0.6953125,1.1031404921008474,0.13749094858797972,0.053875077164824065,0.13749094858797972,0.08361587142315566,11578,3024,11578,8554,0.029435211872202122,0.0931501809039063,0.31746031746031744,0.2623941958887545,0.36906328599980043,0.048566088000370655,1.600765056000455,,,,,,,False,False,side_specific,2259.0,765.0,0,0,0,,,,,
optimization,rg_gamma65_branch_local_p95__conditioned_p10_f025,train,13,rg_gamma65_branch_local_p95,gamma65,region_growing,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.17345562449420016,0.07202123201564464,0.17345562449420016,0.10143439247855551,11870,3181,11870,8689,0.03952290427423806,0.11829275771141227,0.40521848475322225,0.32502106149957877,0.36906328599980043,0.05112220699993486,2.0691593059991646,,,,,,,False,False,side_specific,2165.0,1016.0,0,0,0,0.005167534574866295,5317.0,4712.0,0.8862140304683092,
optimization,rg_gamma65_branch_local_p95__conditioned_p10_f050,train,13,rg_gamma65_branch_local_p95,gamma65,region_growing,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.1732290583608336,0.07202123201564464,0.1732290583608336,0.10120782634518896,11628,3181,11628,8447,0.03952290427423806,0.11749555405654014,0.40521848475322225,0.3295493636050912,0.36906328599980043,0.05112220699993486,2.0530695810002726,,,,,,,False,False,side_specific,2165.0,1016.0,0,0,0,0.01033506914973259,5317.0,4470.0,0.8406996426556329,
optimization,rg_gamma65_branch_local_p95__current_c3_d2,train,13,rg_gamma65_branch_local_p95,gamma65,region_growing,current_c3_d2,standard,3,2.0,,,,,,both_tolerable,True,0.6953125,1.1031404921008474,0.17401139967619597,0.07202123201564464,0.17401139967619597,0.10199016766055133,12475,3181,12475,9294,0.03952290427423806,0.12028576684859263,0.40521848475322225,0.3144689378757515,0.36906328599980043,0.05112220699993486,1.6372929290000684,,,,,,,False,False,side_specific,2165.0,1016.0,0,0,0,,,,,
optimization,rg_gamma65_current__conditioned_p10_f025,train,13,rg_gamma65_current,gamma65,region_growing,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.5614998579679955,0.2515204400021154,0.5614998579679955,0.30997941796588013,20191,5204,20191,14987,0.14582694548353467,0.454559391672288,0.9139123750960799,0.7342380268436433,0.36906328599980043,0.051068640000266896,2.0569623260007575,,,,,,,False,False,shared,,,0,0,0,0.023979967460036278,9819.0,8401.0,0.855586108565027,
optimization,rg_gamma65_current__conditioned_p10_f050,train,13,rg_gamma65_current,gamma65,region_growing,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.558148460888923,0.2515204400021154,0.558148460888923,0.30662802088680763,19494,5204,19494,14290,0.14582694548353467,0.44588213650579506,0.9139123750960799,0.7459731199343388,0.36906328599980043,0.051068640000266896,2.0731240140003138,,,,,,,False,False,shared,,,0,0,0,0.047959934920072556,9819.0,7704.0,0.7846012832263978,
optimization,rg_gamma65_current__current_c3_d2,train,13,rg_gamma65_current,gamma65,region_growing,current_c3_d2,standard,3,2.0,,,,,,both_tolerable,True,0.6953125,1.1031404921008474,0.5605739261936816,0.2515204400021154,0.5605739261936816,0.30905348619156625,21609,5204,21609,16405,0.14582694548353467,0.46599619795179986,0.9139123750960799,0.703318061918645,0.36906328599980043,0.051068640000266896,1.6011713730003976,,,,,,,False,False,shared,,,0,0,0,,,,,
optimization,rg_gamma65_floor072__conditioned_p10_f025,train,13,rg_gamma65_floor072,gamma65,region_growing,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.5707196029776674,0.2626776443442236,0.5707196029776674,0.30804195863344386,21388,5524,21388,15864,0.1535843502790213,0.47249647390691113,0.9067704561911658,0.7204974752197494,0.36906328599980043,0.0508957960000771,2.0534325190001255,,,,,,,False,False,shared,,,0,0,0,0.022370746359229088,10435.0,8873.0,0.8503114518447532,
optimization,rg_gamma65_floor072__conditioned_p10_f050,train,13,rg_gamma65_floor072,gamma65,region_growing,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.568081991215227,0.2626776443442236,0.568081991215227,0.3054043468710034,20660,5524,20660,15136,0.1535843502790213,0.46397252713558595,0.9067704561911658,0.7324298160696999,0.36906328599980043,0.0508957960000771,2.0312334560003364,,,,,,,False,False,shared,,,0,0,0,0.044741492718458176,10435.0,8145.0,0.7805462386200287,
optimization,rg_gamma65_floor072__current_c3_d2,train,13,rg_gamma65_floor072,gamma65,region_growing,current_c3_d2,standard,3,2.0,,,,,,both_tolerable,True,0.6953125,1.1031404921008474,0.5687135555395579,0.2626776443442236,0.5687135555395579,0.30603591119533435,22950,5524,22950,17426,0.1535843502790213,0.48445452872999323,0.9067704561911658,0.6884531590413944,0.36906328599980043,0.0508957960000771,1.6019718510005987,,,,,,,False,False,shared,,,0,0,0,,,,,
optimization,rg_gamma65_floor084__conditioned_p10_f025,train,13,rg_gamma65_floor084,gamma65,region_growing,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.5457642208759943,0.23939418179878943,0.5457642208759943,0.30637003907720484,19053,4889,19053,14164,0.13764027718157845,0.4322990126939351,0.9181836776436899,0.7399884532619535,0.36906328599980043,0.04685108300054708,2.0544428499997593,,,,,,,False,False,shared,,,0,0,0,0.02617374062538147,9329.0,8004.0,0.8579697716797084,
optimization,rg_gamma65_floor084__conditioned_p10_f050,train,13,rg_gamma65_floor084,gamma65,region_growing,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.5421934725080858,0.23939418179878943,0.5421934725080858,0.30279929070929634,18401,4889,18401,13512,0.13764027718157845,0.4240510210339118,0.9181836776436899,0.7515895875224172,0.36906328599980043,0.04685108300054708,2.0665270760000567,,,,,,,False,False,shared,,,0,0,0,0.05234748125076294,9329.0,7352.0,0.7880801800836102,
optimization,rg_gamma65_floor084__current_c3_d2,train,13,rg_gamma65_floor084,gamma65,region_growing,current_c3_d2,standard,3,2.0,,,,,,both_tolerable,True,0.6953125,1.1031404921008474,0.5457050120772947,0.23939418179878943,0.5457050120772947,0.30631083027850525,20378,4889,20378,15489,0.13764027718157845,0.44333721714601093,0.9181836776436899,0.7095396996761213,0.36906328599980043,0.04685108300054708,1.5996399690002363,,,,,,,False,False,shared,,,0,0,0,,,,,
optimization,rg_gamma65_left_permissive__conditioned_p10_f025,train,13,rg_gamma65_left_permissive,gamma65,region_growing,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.5619453989351659,0.25419031278870263,0.5619453989351659,0.3077550861464633,20352,5271,20352,15081,0.14763598454651378,0.4563071073772,0.9134889015367103,0.7312303459119497,0.36906328599980043,0.0660033559997828,2.040927140000349,,,,,,,False,False,side_specific,3054.0,2217.0,0,0,0,0.023319868370890617,9891.0,8447.0,0.854008694773026,
optimization,rg_gamma65_left_permissive__conditioned_p10_f050,train,13,rg_gamma65_left_permissive,gamma65,region_growing,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.5591842200922152,0.25419031278870263,0.5591842200922152,0.3049939073035126,19655,5271,19655,14384,0.14763598454651378,0.4480897773962102,0.9134889015367103,0.7435258204019334,0.36906328599980043,0.0660033559997828,2.0337043400004404,,,,,,,False,False,side_specific,3054.0,2217.0,0,0,0,0.046639736741781235,9891.0,7750.0,0.78354059245779,
optimization,rg_gamma65_left_permissive__current_c3_d2,train,13,rg_gamma65_left_permissive,gamma65,region_growing,current_c3_d2,standard,3,2.0,,,,,,both_tolerable,True,0.6953125,1.1031404921008474,0.5613306377504135,0.25419031278870263,0.5613306377504135,0.30714032496171084,21796,5271,21796,16525,0.14763598454651378,0.46823450052124854,0.9134889015367103,0.700633143696091,0.36906328599980043,0.0660033559997828,1.621684531000028,,,,,,,False,False,side_specific,3054.0,2217.0,0,0,0,,,,,
