IMG_ID,artery_dice,artery_dice_before_morphology,artery_dice_after_morphology,artery_dice_morphology_delta,artery_voxel_count,artery_voxel_count_before_morphology,artery_voxel_count_after_morphology,artery_segmentation_method,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,threshold_mode,fuzzy_mask_strategy,min_threshold_hu,max_threshold_hu,lower_threshold_method,lower_threshold_percentile,threshold_voxel_count,lcc_voxel_count,image_slice_count,image_voxel_count,aorta_circle_count,aorta_detected_circle_count,aorta_interpolated_circle_count,aorta_circle_first_slice,aorta_circle_last_slice,aorta_circle_coverage,aorta_circle_radius_min_px,aorta_circle_radius_max_px,aorta_circle_radius_mean_px,aorta_circle_radius_median_px,aorta_circle_radius_std_px,aorta_circle_radius_p10_px,aorta_circle_radius_p90_px,aorta_circle_radius_min_mm,aorta_circle_radius_max_mm,aorta_circle_radius_mean_mm,aorta_circle_radius_median_mm,aorta_circle_radius_std_mm,aorta_circle_radius_p10_mm,aorta_circle_radius_p90_mm,aorta_detected_circle_radius_median_mm,aorta_interpolated_circle_radius_median_mm,aorta_circle_radius_first_mm,aorta_circle_radius_last_mm,aorta_circle_radius_max_step_change_mm,aorta_circle_radius_p90_step_change_mm,aorta_circle_mean_hough_accumulator,aorta_circle_lower_radius_bound_fraction,aorta_circle_upper_radius_bound_fraction,aorta_recovered_initialization,aorta_circle_filter_method,aorta_circle_filter_applied,aorta_circle_original_count,aorta_circle_used_count,aorta_circle_filter_interpolated_count,aorta_circle_filter_trimmed_tail_count,aorta_circle_filter_trim_start_slice,aorta_circle_filter_original_coverage,aorta_circle_filter_used_coverage,aorta_circle_filter_reason,aorta_mask_voxel_count,aorta_segmented_slice_count,aorta_voxels_per_segmented_slice,aorta_volume_fraction,aorta_level_set_mode,aorta_level_set_iterations_used,aorta_level_set_stop_reason,aorta_level_set_checkpoint_count,aorta_level_set_rolled_back,aorta_level_set_mask_change_fraction,aorta_level_set_voxels_per_segmented_slice,aorta_level_set_circle_fill_q25,aorta_level_set_circle_area_ratio_p90,aorta_level_set_leak_suspected,aorta_level_set_localization_suspected,aorta_level_set_leak_signal_count,aorta_level_set_trigger_iteration,aorta_level_set_trigger_volume_fraction,aorta_level_set_trigger_relative_growth,aorta_level_set_trigger_mask_change_fraction,aorta_level_set_trigger_circle_fill_q25,aorta_level_set_trigger_circle_area_ratio_p90,aorta_level_set_correction_applied,aorta_level_set_correction_method,aorta_level_set_refinement_applied,aorta_level_set_refinement_accepted,aorta_level_set_refinement_iterations,aorta_level_set_refinement_balloon,aorta_level_set_refinement_smoothing,aorta_level_set_refinement_transition_mode,aorta_level_set_refinement_anomaly_margin_slices,aorta_level_set_refinement_volume_loss_fraction,aorta_level_set_slice_area_jump_p95_before,aorta_level_set_slice_area_jump_p95_after,aorta_level_set_refinement_rejection_reason,aorta_level_set_controller_state,aorta_level_set_profile_used,aorta_level_set_rollback_iteration,aorta_level_set_circle_confidence_signal_count,aorta_level_set_alternative_attempted,aorta_level_set_alternative_accepted,aorta_level_set_conservative_attempted,aorta_level_set_conservative_accepted,aorta_level_set_permissive_attempted,aorta_level_set_permissive_accepted,aorta_level_set_nominal_volume_fraction,aorta_level_set_nominal_circle_fill_q25,aorta_level_set_nominal_circle_area_ratio_p90,aorta_level_set_final_volume_fraction,aorta_level_set_decision_reason,aorta_neck_pruning_method,aorta_neck_pruning_attempted,aorta_neck_pruning_accepted,aorta_neck_pruning_anomalous_slice_count,aorta_neck_pruning_removed_voxels,aorta_neck_pruning_volume_loss_fraction,aorta_neck_pruning_area_ratio_before,aorta_neck_pruning_area_ratio_after,aorta_neck_pruning_fill_q25_before,aorta_neck_pruning_fill_q25_after,aorta_neck_pruning_slice_area_jump_p95_before,aorta_neck_pruning_slice_area_jump_p95_after,aorta_neck_pruning_rejection_reason,aorta_area_jump_pruning_method,aorta_area_jump_pruning_attempted,aorta_area_jump_pruning_accepted,aorta_area_jump_pruning_trigger_slice,aorta_area_jump_pruning_neck_slice,aorta_area_jump_pruning_removed_voxels,aorta_area_jump_pruning_volume_loss_fraction,aorta_area_jump_pruning_area_ratio_before,aorta_area_jump_pruning_area_ratio_after,aorta_area_jump_pruning_fill_q25_before,aorta_area_jump_pruning_fill_q25_after,aorta_area_jump_pruning_voxels_per_slice_before,aorta_area_jump_pruning_voxels_per_slice_after,aorta_area_jump_pruning_rejection_reason,ostia_surface_mode,ostia_surface_thickness_mm,ostia_external_thickness_mm,ostia_candidate_score_mode,ostia_pair_selection_mode,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile,configured_lower_threshold_method,lcc_per_slice,lcc_mode,configured_artery_segmentation_method,aorta_ostia_method,aorta_miss_count,aorta_interpolate_missed_circles
28,0.6673056529896403,0.3665257037134928,0.6673056529896403,0.3007799492761475,24851,6083,24851,region_growing,,,,,normal,,-486.75,946.75,percentile,10.75,11573143,11123016,275,18022400,120,120,0,155,274,0.4363636363636363,18.0,27.666666666666668,21.042849025974025,20.666666666666668,1.5376776821182716,19.5,23.050000000000004,12.09375,18.588541666666668,14.138164189326298,13.885416666666668,1.0331271926732135,13.1015625,15.486718750000003,13.885416666666668,,15.453125,12.989583333333332,6.494791666666668,1.34375,0.4382273842679224,0.025,0.0,no,robust,False,120,120,0,0,,0.4363636363636363,0.4363636363636363,unchanged,194586,130,1496.8153846153846,0.0107968971946022,adaptive,31,nominal_complete,4,no,0.0356959371981669,1496.8153846153846,0.8443158803907553,1.3756288190503758,no,no,0,31,0.0107968971946022,0.0363880396689284,0.0356959371981669,0.8443158803907553,1.3756288190503758,no,none,no,no,,,,,,,0.0380367015419557,0.0380367015419557,not_attempted,adequate,nominal,,2,no,no,no,no,no,no,0.0107968971946022,0.8443158803907553,1.3756288190503758,0.0107968971946022,nominal_complete,circle_area_jump_pruning,no,no,0,0,0.0,,,,,,,controller_state_not_oversegmented,circle_area_jump_pruning,no,no,,,0,0.0,,,,,,,controller_state_not_oversegmented,symmetric_distance,2.0,3.0,external_mean,bilateral,yes,both tolerable,yes,no,,,no,yes,no,no,1.502358172382671,2.013867935714753,"(104, 144, 184)","(126, 115, 216)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
380,0.5491163395858181,0.2874960601557927,0.5491163395858181,0.2616202794300253,38306,8940,38306,region_growing,,,,,normal,,-259.75,877.0,percentile,10.75,7749547,7615382,206,13500416,77,77,0,129,205,0.3737864077669903,18.5,29.0,25.5842661306947,26.5,3.0432178179179656,20.3,28.666666666666668,11.779296875,18.46484375,16.28998195040327,16.873046875,1.9376738450024544,12.925390625,18.252604166666668,16.873046875,,11.779296875,16.62543402777778,3.18359375,1.406087239583334,0.5247433968456942,0.0,0.0,no,robust,False,77,77,0,0,,0.3737864077669903,0.3737864077669903,coverage_below_tail_threshold,208643,87,2398.1954022988507,0.0154545608076077,adaptive,31,nominal_complete,4,no,0.0156899955910824,2398.1954022988507,0.9872701555869872,1.6737770346785756,no,no,0,31,0.0154545608076077,0.0156947507289978,0.0156899955910824,0.9872701555869872,1.6737770346785756,no,none,no,no,,,,,,,0.065356342643368,0.065356342643368,not_attempted,adequate,nominal,,0,no,no,no,no,no,no,0.0154545608076077,0.9872701555869872,1.6737770346785756,0.0154545608076077,nominal_complete,circle_area_jump_pruning,no,no,0,0,0.0,,,,,,,controller_state_not_oversegmented,circle_area_jump_pruning,no,no,,,0,0.0,,,,,,,controller_state_not_oversegmented,symmetric_distance,2.0,3.0,external_mean,bilateral,yes,both tolerable,yes,no,,,no,yes,no,yes,4.004243507137537,0.0,"(94, 118, 122)","(113, 88, 170)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
854,0.6225757090495,0.3544778491069726,0.6225757090495,0.2680978599425274,31826,7090,31826,region_growing,,,,,normal,,-539.75,793.25,percentile,10.75,11245828,10805757,275,18022400,138,138,0,137,274,0.5018181818181818,18.0,26.0,22.888046353807223,23.464285714285715,2.0874355541893266,19.5,25.25,11.4609375,16.5546875,14.573248264338194,14.940150669642858,1.3291093567689851,12.416015625,16.0771484375,14.940150669642858,,13.37109375,14.750651041666668,1.8252604166666675,0.871395089285716,0.5112905206957017,0.0072463768115942,0.0,no,robust,True,138,138,1,0,,0.5018181818181818,0.5018181818181818,isolated_outliers_interpolated,250600,147,1704.7619047619048,0.0139049183238636,adaptive,31,nominal_complete,4,no,0.0121168838422929,1704.7619047619048,0.9520579107931832,1.5098609076480267,no,no,0,31,0.0139049183238636,0.0119242308608624,0.0121168838422929,0.9520579107931832,1.5098609076480267,no,none,no,no,,,,,,,0.1388507654023075,0.1388507654023075,not_attempted,adequate,nominal,,0,no,no,no,no,no,no,0.0139049183238636,0.9520579107931832,1.5098609076480267,0.0139049183238636,nominal_complete,circle_area_jump_pruning,no,no,0,0,0.0,,,,,,,controller_state_not_oversegmented,circle_area_jump_pruning,no,no,,,0,0.0,,,,,,,controller_state_not_oversegmented,symmetric_distance,2.0,3.0,external_mean,bilateral,yes,both tolerable,yes,no,,,no,yes,no,no,2.546875,1.739843048383334,"(101, 149, 157)","(122, 117, 183)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
937,0.677582948144544,0.3741960887255545,0.677582948144544,0.3033868594189894,29414,6453,29414,region_growing,,,,,normal,,-472.25,847.5,percentile,10.75,12176976,11760383,275,18022400,82,82,0,193,274,0.2981818181818181,18.0,27.0,21.09813421673178,21.0,1.676559308218708,19.51,23.250000000000004,12.515625,18.7734375,14.669796447571317,14.6015625,1.1657326439958204,13.565546875,16.166015625000004,14.6015625,,13.2109375,14.833333333333332,3.82421875,1.854166666666668,0.4655248751828668,0.0365853658536585,0.0,no,robust,False,82,82,0,0,,0.2981818181818181,0.2981818181818181,coverage_below_tail_threshold,128390,92,1395.5434782608695,0.0071239124644886,adaptive,31,permissive_rejected,4,no,0.0168525325524889,1395.5434782608695,0.8810278533035417,1.2957373731104986,no,no,0,31,0.0071239124644886,0.0168538435950642,0.0168525325524889,0.8810278533035417,1.2957373731104986,no,permissive,no,no,,,,,,,0.0911067012851997,0.0911067012851997,not_attempted,undersegmented,nominal,26.0,1,yes,no,no,no,yes,no,0.0071239124644886,0.8810278533035417,1.2957373731104986,0.0071239124644886,insufficient_fill_gain,circle_area_jump_pruning,no,no,0,0,0.0,,,,,,,controller_state_not_oversegmented,circle_area_jump_pruning,no,no,,,0,0.0,,,,,,,controller_state_not_oversegmented,symmetric_distance,2.0,3.0,external_mean,bilateral,yes,both tolerable,yes,no,,,no,yes,no,no,1.848593347191656,2.804937749977707,"(108, 170, 213)","(115, 130, 226)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
315,0.5630739582718817,0.2639864232209737,0.5630739582718817,0.2990875350509079,21638,4961,21638,region_growing,,,,,normal,,-386.0,799.0,percentile,10.75,12756276,12560917,275,18022400,149,149,0,126,274,0.5418181818181819,18.0,30.0,23.311643762650476,22.666666666666668,3.5174790304529764,19.0,28.0,12.3046875,20.5078125,15.935693978374353,15.494791666666668,2.4045266809737145,12.98828125,19.140625,15.494791666666668,,15.72265625,14.35546875,8.203125,3.41796875,0.3863609115034379,0.046979865771812,0.0268456375838926,no,robust,True,149,108,2,41,166.0,0.5418181818181819,0.3927272727272727,persistent_tail_trimmed+isolated_outliers_interpolated,352653,118,2988.584745762712,0.0195674826882102,adaptive,31,nominal_complete,4,no,0.0337555852933838,2988.584745762712,0.9941648341264108,2.2880055120204847,no,no,0,31,0.0195674826882102,0.0345826060170448,0.0337555852933838,0.9941648341264108,2.2880055120204847,no,none,no,no,,,,,,,0.0484762013054962,0.0484762013054962,not_attempted,adequate,nominal,,2,no,no,no,no,no,no,0.0195674826882102,0.9941648341264108,2.2880055120204847,0.0195674826882102,nominal_complete,circle_area_jump_pruning,no,no,0,0,0.0,,,,,,,controller_state_not_oversegmented,circle_area_jump_pruning,no,no,,,0,0.0,,,,,,,controller_state_not_oversegmented,symmetric_distance,2.0,3.0,external_mean,bilateral,yes,found but incorrect,yes,yes,,,no,no,no,yes,13.960019380834728,0.0,"(83, 164, 159)","(117, 145, 220)",,one ostium correct,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
428,0.4964367816091954,0.2382146736447121,0.4964367816091954,0.2582221079644832,25558,6593,25558,region_growing,,,,,normal,,-202.25,815.75,percentile,10.75,12434343,12306918,275,18022400,172,172,0,103,274,0.6254545454545455,18.0,30.0,23.77089562569214,24.0,3.6690584463422025,19.0,28.65,12.5859375,20.9765625,16.621055925776922,16.78125,2.565474460528337,13.28515625,20.0326171875,16.78125,,12.935546875,17.48046875,8.390625,3.5660156250000004,0.375960025149469,0.0348837209302325,0.0290697674418604,no,robust,True,172,99,3,73,175.0,0.6254545454545455,0.36,persistent_tail_trimmed+isolated_outliers_interpolated,345346,109,3168.3119266055046,0.0191620427911931,adaptive,31,conservative_rejected,4,no,0.0043578346918388,3168.3119266055046,0.9988693864888728,2.929685395662778,yes,no,1,31,0.0191620427911931,0.0043244469390069,0.0043578346918388,0.9988693864888728,2.929685395662778,no,conservative,no,no,,,,,,,0.0432097066762062,0.0432097066762062,not_attempted,oversegmented,nominal,21.0,3,yes,no,yes,no,no,no,0.0191620427911931,0.9988693864888728,2.929685395662778,0.0191620427911931,area_not_reduced,circle_area_jump_pruning,no,no,0,0,0.0,,,,,,,different_method,circle_area_jump_pruning,yes,no,178.0,176.0,0,0.0,2.929685395662778,2.9206915983246216,0.9988693864888728,0.9988693864888728,3168.3119266055046,3146.0091743119265,axial_jump_increased,symmetric_distance,2.0,3.0,external_mean,bilateral,yes,found but incorrect,yes,yes,,,no,no,no,no,27.285263622730756,4.003515605943263,"(50, 176, 169)","(98, 129, 169)",,no ostium correct,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
752,0.5847562783445156,0.3590067605989764,0.5847562783445156,0.2257495177455391,56848,13262,56848,region_growing,,,,,normal,,-361.5,863.75,percentile,10.75,8726856,7974937,275,18022400,83,83,0,192,274,0.3018181818181818,19.0,26.666666666666668,23.422551243936788,23.571428571428573,2.1690296763145915,20.0,26.0,12.09765625,16.979166666666668,14.913577549850377,15.008370535714286,1.3810618642159314,12.734375,16.5546875,15.008370535714286,,12.09765625,16.3,4.45703125,1.14609375,0.4096971403230495,0.0,0.0,no,robust,False,83,83,0,0,,0.3018181818181818,0.3018181818181818,coverage_below_tail_threshold,181742,93,1954.215053763441,0.010084228515625,adaptive,31,nominal_complete,4,no,0.0293824783386054,1954.215053763441,0.9467540598794036,1.530330959868528,no,no,0,31,0.010084228515625,0.0298922744762476,0.0293824783386054,0.9467540598794036,1.530330959868528,no,none,no,no,,,,,,,0.0728341461282447,0.0728341461282447,not_attempted,adequate,nominal,,0,no,no,no,no,no,no,0.010084228515625,0.9467540598794036,1.530330959868528,0.010084228515625,nominal_complete,circle_area_jump_pruning,no,no,0,0,0.0,,,,,,,controller_state_not_oversegmented,circle_area_jump_pruning,no,no,,,0,0.0,,,,,,,controller_state_not_oversegmented,symmetric_distance,2.0,3.0,external_mean,bilateral,yes,both tolerable,yes,no,,,no,yes,no,no,1.2734375,2.343776041521992,"(96, 174, 208)","(114, 133, 232)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
13,0.5717081353089181,0.2779876817970084,0.5717081353089181,0.2937204535119096,24618,6028,24618,region_growing,,,,,normal,,-411.25,994.0,percentile,10.75,12584332,12351738,241,15794176,66,66,0,175,240,0.2738589211618257,18.0,24.22222222222222,21.60206228956229,22.0625,1.7409213970518336,18.75,23.52777777777778,12.515625,16.84201388888889,15.02018393571128,15.34033203125,1.210484408887603,13.037109375,16.359157986111114,15.34033203125,,15.296875,15.412760416666668,1.564453125,1.1434027777777775,0.4563596347144141,0.0454545454545454,0.0,no,robust,False,66,66,0,0,,0.2738589211618257,0.2738589211618257,coverage_below_tail_threshold,119381,76,1570.8026315789473,0.0075585456309971,adaptive,31,nominal_complete,4,no,0.0067157929994975,1570.8026315789473,0.9148118201149028,1.527724372752504,no,no,0,31,0.0075585456309971,0.0061016206376362,0.0067157929994975,0.9148118201149028,1.527724372752504,no,none,no,no,,,,,,,0.0790100067179902,0.0790100067179902,not_attempted,adequate,nominal,,0,no,no,no,no,no,no,0.0075585456309971,0.9148118201149028,1.527724372752504,0.0075585456309971,nominal_complete,circle_area_jump_pruning,no,no,0,0,0.0,,,,,,,controller_state_not_oversegmented,circle_area_jump_pruning,no,no,,,0,0.0,,,,,,,controller_state_not_oversegmented,symmetric_distance,2.0,3.0,external_mean,bilateral,yes,both tolerable,yes,no,,,no,yes,no,no,2.4154905767902517,2.4359470213091665,"(113, 171, 168)","(129, 146, 200)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
538,0.5052235520153705,0.2676596418951038,0.5052235520153705,0.2375639101202667,25252,6841,25252,region_growing,,,,,normal,,-459.25,637.0504760742188,percentile,10.75,12864510,12333039,275,18022400,107,107,0,168,274,0.3890909090909091,18.0,26.666666666666668,23.27358970209437,24.2,2.34962394753194,20.0,26.036363636363635,11.4609375,16.979166666666668,14.818730943130404,15.40859375,1.496049622842602,12.734375,16.57784090909091,15.40859375,,11.4609375,15.811848958333332,1.6554687500000007,1.0545137479707796,0.4406463411240739,0.0186915887850467,0.0,no,robust,False,107,107,0,0,,0.3890909090909091,0.3890909090909091,coverage_below_tail_threshold,221131,117,1890.008547008547,0.0122697864879261,adaptive,31,nominal_complete,4,no,0.0228860983790332,1890.008547008547,0.9001533742331289,1.7375894926613926,no,no,0,31,0.0122697864879261,0.0225332704454864,0.0228860983790332,0.9001533742331289,1.7375894926613926,no,none,no,no,,,,,,,0.0638498471557682,0.0638498471557682,not_attempted,adequate,nominal,,0,no,no,no,no,no,no,0.0122697864879261,0.9001533742331289,1.7375894926613926,0.0122697864879261,nominal_complete,circle_area_jump_pruning,no,no,0,0,0.0,,,,,,,controller_state_not_oversegmented,circle_area_jump_pruning,no,no,,,0,0.0,,,,,,,controller_state_not_oversegmented,symmetric_distance,2.0,3.0,external_mean,bilateral,yes,both tolerable,yes,no,,,no,yes,no,no,1.3680800657879093,0.5,"(103, 173, 201)","(128, 140, 218)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
965,0.3698170257231152,0.1857778619448915,0.3698170257231152,0.1840391637782236,17316,4020,17316,region_growing,,,,,normal,,-453.75,703.75,percentile,10.75,12911931,12697873,275,18022400,92,92,0,183,274,0.3345454545454545,18.33333333333333,24.0,21.47746724893464,21.75,1.2435395212002391,19.5,22.79692307692308,14.179687499999998,18.5625,16.61147857534789,16.822265625,0.96180009842831,15.08203125,17.631995192307695,16.822265625,,18.5625,17.634375000000002,3.8671875,0.59375,0.4856059623542839,0.0,0.0,no,robust,False,92,92,0,0,,0.3345454545454545,0.3345454545454545,coverage_below_tail_threshold,154659,102,1516.264705882353,0.0085814874822443,adaptive,31,nominal_complete,4,no,0.0042736976859963,1516.264705882353,0.9475685635552444,1.3346340348042145,no,no,0,31,0.0085814874822443,0.0041879309673146,0.0042736976859963,0.9475685635552444,1.3346340348042145,no,none,no,no,,,,,,,0.0703384207033842,0.0703384207033842,not_attempted,adequate,nominal,,0,no,no,no,no,no,no,0.0085814874822443,0.9475685635552444,1.3346340348042145,0.0085814874822443,nominal_complete,circle_area_jump_pruning,no,no,0,0,0.0,,,,,,,controller_state_not_oversegmented,circle_area_jump_pruning,no,no,,,0,0.0,,,,,,,controller_state_not_oversegmented,symmetric_distance,2.0,3.0,external_mean,bilateral,yes,both tolerable,yes,no,,,no,yes,no,no,2.3735732762348523,2.3735732762348523,"(108, 152, 176)","(105, 122, 197)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
447,0.4674207032210474,0.2102129800436022,0.4674207032210474,0.2572077231774452,11629,2945,11629,region_growing,,,,,normal,,-570.5,900.5,percentile,10.75,12381708,11996258,245,16056320,95,95,0,150,244,0.3877551020408163,18.0,24.454545454545453,21.288443018969332,21.33333333333333,1.6214696626837009,18.7,23.523076923076925,12.515625,17.003551136363637,14.802120536627116,14.833333333333332,1.1274281248347608,13.00234375,16.355889423076924,14.833333333333332,,13.2109375,16.513671875,2.607421875,0.8710720486111116,0.4885792494602783,0.0105263157894736,0.0,no,robust,False,95,95,0,0,,0.3877551020408163,0.3877551020408163,coverage_below_tail_threshold,158939,105,1513.704761904762,0.0098988435706313,adaptive,31,nominal_complete,4,no,0.0235320018870891,1513.704761904762,0.9084717780705294,1.5801260902662757,no,no,0,31,0.0098988435706313,0.023629806144136,0.0235320018870891,0.9084717780705294,1.5801260902662757,no,none,no,no,,,,,,,0.0703283112884505,0.0703283112884505,not_attempted,adequate,nominal,,0,no,no,no,no,no,no,0.0098988435706313,0.9084717780705294,1.5801260902662757,0.0098988435706313,nominal_complete,circle_area_jump_pruning,no,no,0,0,0.0,,,,,,,controller_state_not_oversegmented,circle_area_jump_pruning,no,no,,,0,0.0,,,,,,,controller_state_not_oversegmented,symmetric_distance,2.0,3.0,external_mean,bilateral,yes,found but incorrect,yes,yes,,,no,no,no,no,0.6953125,11.851953891032323,"(119, 184, 172)","(140, 142, 165)",,no ostium correct,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
836,0.7369545596876094,0.3899459301475961,0.7369545596876094,0.3470086295400132,27103,7027,27103,region_growing,,,,,normal,,-498.0,843.25,percentile,10.75,11412935,10787041,275,18022400,120,120,0,155,274,0.4363636363636363,18.0,26.5,21.9534737022237,22.428571428571427,2.128789863952222,18.5,24.3375,11.4609375,16.873046875,13.978188333837748,14.280691964285714,1.3554404211883289,11.779296875,15.496142578125,14.280691964285714,,14.0078125,15.28125,4.138671875,0.951540798611111,0.4192394337894288,0.05,0.0,no,robust,False,120,120,0,0,,0.4363636363636363,0.4363636363636363,unchanged,214871,130,1652.8538461538462,0.0119224409623579,adaptive,31,nominal_complete,4,no,0.0401907198511454,1652.8538461538462,0.9016104979510456,1.7127815526546937,no,no,0,31,0.0119224409623579,0.0408449953739361,0.0401907198511454,0.9016104979510456,1.7127815526546937,no,none,no,no,,,,,,,0.0925330470283318,0.0925330470283318,not_attempted,adequate,nominal,,0,no,no,no,no,no,no,0.0119224409623579,0.9016104979510456,1.7127815526546937,0.0119224409623579,nominal_complete,circle_area_jump_pruning,no,no,0,0,0.0,,,,,,,controller_state_not_oversegmented,circle_area_jump_pruning,no,no,,,0,0.0,,,,,,,controller_state_not_oversegmented,symmetric_distance,2.0,3.0,external_mean,bilateral,yes,both tolerable,yes,no,,,no,yes,no,no,2.0746343451354567,1.74952037233155,"(102, 136, 173)","(125, 106, 207)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
603,0.4499604385667458,0.1860223134285218,0.4499604385667458,0.2639381251382239,13274,3637,13274,region_growing,,,,,normal,,-465.25,865.25,percentile,10.75,8771501,8444379,206,13500416,68,68,0,138,205,0.3300970873786408,18.0,27.0,20.847363339275105,20.366666666666667,1.628010299650334,19.45,23.0,11.4609375,17.19140625,13.27390712617907,12.967838541666666,1.0365846829804863,12.3841796875,14.64453125,12.967838541666666,,13.37109375,13.37109375,5.09375,1.750976562499999,0.4002311508596652,0.0147058823529411,0.0,no,robust,False,68,68,0,0,,0.3300970873786408,0.3300970873786408,coverage_below_tail_threshold,220049,78,2821.141025641026,0.0162994236622041,adaptive,31,conservative_accepted,4,yes,0.1890516576715497,2821.141025641026,0.9097604982663412,3.0543802617255373,yes,no,1,31,0.0190610422671419,0.1703133029838596,0.145866601393276,0.9097604982663412,3.823552514090766,yes,conservative,no,no,,,,,,,0.0769921916123383,0.0750232517329121,not_attempted,oversegmented,conservative,21.0,3,yes,yes,yes,yes,no,no,0.0190610422671419,0.9097604982663412,3.823552514090766,0.0162994236622041,accepted,circle_area_jump_pruning,no,no,0,0,0.0,,,,,,,different_method,circle_area_jump_pruning,yes,no,142.0,140.0,0,0.0,3.0543802617255373,2.9988531364460105,0.9097604982663412,0.9097604982663412,2821.141025641026,2733.346153846154,axial_jump_increased,symmetric_distance,2.0,3.0,external_mean,bilateral,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.739843048383334,"(83, 170, 169)","(117, 126, 191)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
676,0.49860810392824,0.2094615306018187,0.49860810392824,0.2891465733264212,8585,2295,8585,region_growing,,,,,normal,,-231.0,931.25,percentile,10.75,13017535,12879680,275,18022400,144,144,0,131,274,0.5236363636363637,18.0,29.0,22.449033528200196,22.2,2.477362885641461,19.5,27.0,13.2890625,21.41015625,16.57370053449155,16.38984375,1.8289905679149847,14.396484375,19.93359375,16.38984375,,14.765625,20.302734375,4.4296875,1.107421875,0.4928998094495705,0.0208333333333333,0.0,no,robust,True,144,122,0,22,152.0,0.5236363636363637,0.4436363636363636,persistent_tail_trimmed,217047,132,1644.2954545454545,0.0120431795987215,adaptive,31,nominal_complete,4,no,0.008544528277552,1644.2954545454545,0.9403306832525754,1.4935660721344364,no,no,0,31,0.0120431795987215,0.0081423541761498,0.008544528277552,0.9403306832525754,1.4935660721344364,no,none,no,no,,,,,,,0.0462306704847489,0.0462306704847489,not_attempted,adequate,nominal,,0,no,no,no,no,no,no,0.0120431795987215,0.9403306832525754,1.4935660721344364,0.0120431795987215,nominal_complete,circle_area_jump_pruning,no,no,0,0,0.0,,,,,,,controller_state_not_oversegmented,circle_area_jump_pruning,no,no,,,0,0.0,,,,,,,controller_state_not_oversegmented,symmetric_distance,2.0,3.0,external_mean,bilateral,yes,both tolerable,yes,no,,,no,yes,no,yes,2.539801575126613,0.0,"(79, 184, 139)","(100, 161, 187)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
