variant,threshold_method,lower_threshold_method,lower_threshold_percentile,lower_threshold_object_percentile,max_threshold_percentile,fuzzy_object_percentile,fuzzy_dense_percentile,fuzzy_soft_margin_hu,fuzzy_smooth_radius,fuzzy_smooth_mode,run_dir,return_code,duration_seconds,duration_minutes,n_images,mean_min_threshold_hu,mean_max_threshold_hu,std_min_threshold_hu,mean_object_center_hu,mean_dice,median_dice,ostia_success_rate,both_correct_n,both_tolerable_n,found_wrong_n,not_found_n
percentile_p10p5,normal,percentile,10.5,,99.7,,,,,,output/segmentation/analysis/lower_threshold_sweep/fuzzy_threshold_percentile_refined/pipeline_runs/percentile_p10p5/segmentation/runs/mid_res/2026-07-01_08-45-25,0,2005.8815263109864,33.43135877184977,30,-113.81666666666666,761.1416666666667,10.168819255816834,,0.6349333818056558,0.6591614909583847,0.9333333333333333,0,28,2,0
percentile_p11p0,normal,percentile,11.0,,99.7,,,,,,output/segmentation/analysis/lower_threshold_sweep/fuzzy_threshold_percentile_refined/pipeline_runs/percentile_p11p0/segmentation/runs/mid_res/2026-07-01_09-18-51,0,1983.6226774629904,33.060377957716504,30,-111.80833333333334,761.1416666666667,10.316475635614612,,0.6346641005851945,0.6586925413227698,0.9333333333333333,0,28,2,0
percentile_p10p0,normal,percentile,10.0,,99.7,,,,,,output/segmentation/analysis/lower_threshold_sweep/fuzzy_threshold_percentile_refined/pipeline_runs/percentile_p10p0/segmentation/runs/mid_res/2026-07-01_08-12-02,0,2002.7369559549843,33.378949265916404,30,-115.88333333333334,761.1416666666667,10.1192743140839,,0.633823571577418,0.6588558228147109,0.9333333333333333,0,28,2,0
percentile_p11p5,normal,percentile,11.5,,99.7,,,,,,output/segmentation/analysis/lower_threshold_sweep/fuzzy_threshold_percentile_refined/pipeline_runs/percentile_p11p5/segmentation/runs/mid_res/2026-07-01_09-51-55,0,2077.3520389469923,34.62253398244987,30,-109.88333333333334,761.1416666666667,10.437361052829706,,0.6322837370448415,0.6574613666069068,0.9333333333333333,0,28,2,0
percentile_p10p0_thfuzzy_objp99p7_densep99p95_m120p0_r2_mean,fuzzy,percentile,10.0,,99.7,99.7,99.95,120.0,2.0,mean,output/segmentation/analysis/lower_threshold_sweep/fuzzy_threshold_percentile_refined/pipeline_runs/percentile_p10p0_thfuzzy_objp99p7_densep99p95_m120p0_r2_mean/segmentation/runs/mid_res/2026-07-01_10-26-32,0,2221.1754362519714,37.01959060419952,30,-115.88333333333334,,10.1192743140839,,0.6261777324035646,0.6456388405397612,0.9,0,27,3,0
percentile_p10p5_thfuzzy_objp99p7_densep99p95_m120p0_r2_mean,fuzzy,percentile,10.5,,99.7,99.7,99.95,120.0,2.0,mean,output/segmentation/analysis/lower_threshold_sweep/fuzzy_threshold_percentile_refined/pipeline_runs/percentile_p10p5_thfuzzy_objp99p7_densep99p95_m120p0_r2_mean/segmentation/runs/mid_res/2026-07-01_11-03-33,0,2243.466337067017,37.391105617783616,30,-113.81666666666666,,10.168819255816834,,0.6260904080543853,0.6457114825932437,0.9,0,27,3,0
percentile_p11p5_thfuzzy_objp99p7_densep99p95_m120p0_r2_mean,fuzzy,percentile,11.5,,99.7,99.7,99.95,120.0,2.0,mean,output/segmentation/analysis/lower_threshold_sweep/fuzzy_threshold_percentile_refined/pipeline_runs/percentile_p11p5_thfuzzy_objp99p7_densep99p95_m120p0_r2_mean/segmentation/runs/mid_res/2026-07-01_12-17-39,0,2172.8709550619824,36.21451591769971,30,-109.88333333333334,,10.437361052829706,,0.6062012098275018,0.6368514303102067,0.8666666666666667,0,26,4,0
percentile_p11p0_thfuzzy_objp99p7_densep99p95_m120p0_r2_mean,fuzzy,percentile,11.0,,99.7,99.7,99.95,120.0,2.0,mean,output/segmentation/analysis/lower_threshold_sweep/fuzzy_threshold_percentile_refined/pipeline_runs/percentile_p11p0_thfuzzy_objp99p7_densep99p95_m120p0_r2_mean/segmentation/runs/mid_res/2026-07-01_11-40-57,0,2202.176840414002,36.702947340233365,30,-111.80833333333334,,10.316475635614612,,0.60353680539299,0.6367400400079405,0.8666666666666667,0,26,4,0
