IMG_ID,stage,kind,shape_equal,cpu_min,gpu_min,cpu_max,gpu_max,cpu_mean,gpu_mean,mean_abs_error,max_abs_error,rmse,p95_abs_error,p99_abs_error,voxels_abs_gt_tolerance,fraction_abs_gt_tolerance,cpu_count,gpu_count,common_slices,cpu_only_slices,gpu_only_slices,mean_center_distance_px,max_center_distance_px,mean_radius_abs_diff_px,max_radius_abs_diff_px,cpu_voxels,gpu_voxels,voxel_delta,abs_voxel_delta,dice_cpu_gpu,iou_cpu_gpu,xor_voxels,xor_fraction
28,vesselness_ostios,float,True,0.0,0.0,0.7567499279975891,0.7567499876022339,0.002393948891005774,0.0023939476376020484,8.10849818010359e-09,0.008505284786224365,3.2340856378076353e-06,1.1597876437008381e-08,3.2247044146060944e-08,945.0,5.2434747869318184e-05,,,,,,,,,,,,,,,,,
28,aorta_circles,circles,,,,,,,,,,,,,,,120.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
28,aorta_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,190297.0,200927.0,10630.0,10630.0,0.9694906242970779,0.9407877765651355,11936.0,0.0006622869318181819
28,aorta_surface,binary,True,,,,,,,,,,,,,,,,,,,,,,,73029.0,77764.0,4735.0,4735.0,0.9048165365766315,0.8261780485146476,14353.0,0.0007963978160511364
28,vesselness_artery,float,True,0.0,0.0,0.8480173349380493,0.8480172157287598,0.002882128012483872,0.002882128988785376,1.0168487876542383e-08,0.010706789791584015,5.266211612076879e-06,1.4668330550193787e-08,3.4458935260772705e-08,770.0,4.2724609375e-05,,,,,,,,,,,,,,,,,
28,artery_raw_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,6045.0,6045.0,0.0,0.0,1.0,1.0,0.0,0.0
28,artery_closed_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,6347.0,6347.0,0.0,0.0,1.0,1.0,0.0,0.0
28,artery_final_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,24733.0,24733.0,0.0,0.0,1.0,1.0,0.0,0.0
380,vesselness_ostios,float,True,0.0,0.0,0.7596477270126343,0.7596478462219238,0.00227640001918991,0.0022764022668057167,8.692595577669158e-09,0.016896195709705353,6.469125382043956e-06,1.1641532182693481e-08,3.166496753692627e-08,591.0,4.377642881523058e-05,,,,,,,,,,,,,,,,,
380,aorta_circles,circles,,,,,,,,,,,,,,,77.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
380,aorta_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,209081.0,212540.0,3459.0,3459.0,0.9890162017546564,0.9782710696958606,4631.0,0.0003430264667399879
380,aorta_surface,binary,True,,,,,,,,,,,,,,,,,,,,,,,67813.0,68768.0,955.0,955.0,0.9543640769946039,0.9127116389149523,6233.0,0.0004616894768279733
